SKU,year,month,plan,back_bonus
18139,2018,7,80.0,100000
18139,2018,8,90.0,200000
18139,2018,9,90.0,120000
18139,2018,10,90.0,120000
18139,2018,11,100.0,100000
18139,2018,12,90.0,120000
18314,2018,8,10.0,120000
18314,2018,9,100.0,200000
18314,2018,10,100.0,180000
18314,2018,11,90.0,60000
18314,2018,12,100.0,100000
18384,2018,11,70.0,120000
18384,2018,12,180.0,60000
18893,2018,1,70.0,200000
18893,2018,2,110.0,40000
18893,2018,3,120.0,100000
18893,2018,4,120.0,60000
18893,2018,5,130.0,180000
18893,2018,6,120.0,200000
18893,2018,7,120.0,120000
18893,2018,8,140.0,80000
18893,2018,9,120.0,100000
18893,2018,10,130.0,60000
18893,2018,11,120.0,40000
18893,2018,12,130.0,200000
18966,2018,7,60.0,40000
18966,2018,8,210.0,120000
18966,2018,9,220.0,80000
18966,2018,10,210.0,120000
18966,2018,11,210.0,40000
18966,2018,12,220.0,80000
18969,2018,6,30.0,40000
18969,2018,7,100.0,200000
18969,2018,8,90.0,40000
18969,2018,9,90.0,100000
18969,2018,10,90.0,100000
18969,2018,11,100.0,180000
18969,2018,12,100.0,100000
19050,2018,9,10.0,140000
19050,2018,10,90.0,80000
19050,2018,11,90.0,60000
19050,2018,12,120.0,60000
19143,2018,6,60.0,100000
19143,2018,7,90.0,200000
19143,2018,8,100.0,140000
19143,2018,9,90.0,60000
19143,2018,10,90.0,200000
19143,2018,11,100.0,40000
19143,2018,12,80.0,140000
19414,2018,4,90.0,140000
19414,2018,5,150.0,100000
19414,2018,6,120.0,60000
19414,2018,7,120.0,60000
19414,2018,8,130.0,160000
19414,2018,9,130.0,140000
19414,2018,10,120.0,200000
19414,2018,11,120.0,80000
19414,2018,12,150.0,40000
19480,2018,10,10.0,60000
19480,2018,11,90.0,120000
19480,2018,12,90.0,180000
19703,2018,8,150.0,100000
19703,2018,9,150.0,100000
19703,2018,10,160.0,120000
19703,2018,11,150.0,200000
19703,2018,12,160.0,80000
19975,2018,5,100.0,80000
19975,2018,6,180.0,120000
19975,2018,7,190.0,200000
19975,2018,8,180.0,160000
19975,2018,9,190.0,160000
19975,2018,10,180.0,140000
19975,2018,11,200.0,180000
19975,2018,12,200.0,40000
19990,2018,8,40.0,80000
19990,2018,9,30.0,40000
19990,2018,10,30.0,100000
19990,2018,11,40.0,200000
19990,2018,12,30.0,40000
20038,2018,6,70.0,160000
20038,2018,7,130.0,160000
20038,2018,8,130.0,40000
20038,2018,9,130.0,40000
20301,2018,11,90.0,100000
20301,2018,12,160.0,160000
20427,2018,5,120.0,140000
20427,2018,6,180.0,80000
20427,2018,7,160.0,140000
20427,2018,8,180.0,60000
20427,2018,9,160.0,100000
20427,2018,10,150.0,80000
20427,2018,11,150.0,200000
20427,2018,12,160.0,160000
20680,2018,5,70.0,200000
20680,2018,6,210.0,80000
20680,2018,7,220.0,200000
20680,2018,8,210.0,140000
20680,2018,9,210.0,100000
20680,2018,10,220.0,200000
20680,2018,11,200.0,140000
20680,2018,12,220.0,80000
21041,2018,4,70.0,200000
21041,2018,5,150.0,80000
21041,2018,6,150.0,60000
21041,2018,7,160.0,120000
21041,2018,8,150.0,200000
21041,2018,9,150.0,120000
21041,2018,10,160.0,180000
21041,2018,11,140.0,200000
21041,2018,12,150.0,80000
21147,2018,5,60.0,40000
21147,2018,6,140.0,140000
21147,2018,7,130.0,180000
21147,2018,8,150.0,160000
21147,2018,9,120.0,160000
21147,2018,10,130.0,180000
21147,2018,11,110.0,120000
21147,2018,12,120.0,200000
21389,2018,3,90.0,160000
21389,2018,4,170.0,40000
21389,2018,5,180.0,60000
21389,2018,6,180.0,160000
21389,2018,7,190.0,140000
21389,2018,8,180.0,160000
21389,2018,9,180.0,120000
21389,2018,10,180.0,160000
21389,2018,11,190.0,200000
21389,2018,12,190.0,100000
21516,2018,9,50.0,200000
21516,2018,10,70.0,80000
21516,2018,11,50.0,180000
21516,2018,12,60.0,140000
21593,2018,3,130.0,160000
21593,2018,4,170.0,140000
21593,2018,5,190.0,140000
21593,2018,6,170.0,180000
21593,2018,7,180.0,160000
21593,2018,8,180.0,200000
21593,2018,9,170.0,100000
21593,2018,10,180.0,100000
21593,2018,11,180.0,160000
21593,2018,12,190.0,60000
21691,2018,6,160.0,200000
21691,2018,7,220.0,180000
21691,2018,8,220.0,200000
21691,2018,9,210.0,200000
21691,2018,10,210.0,160000
21691,2018,11,210.0,200000
21691,2018,12,220.0,60000
21742,2018,5,0.0,40000
21742,2018,6,30.0,40000
21742,2018,7,40.0,120000
21742,2018,8,30.0,100000
21742,2018,9,30.0,100000
21742,2018,10,30.0,60000
21742,2018,11,50.0,60000
21742,2018,12,50.0,120000
21781,2018,4,60.0,40000
21781,2018,5,110.0,200000
21781,2018,6,80.0,100000
21781,2018,7,100.0,140000
21781,2018,8,110.0,80000
21781,2018,9,90.0,80000
21781,2018,10,90.0,80000
21781,2018,11,90.0,40000
21781,2018,12,130.0,140000
21873,2018,3,140.0,200000
21873,2018,4,150.0,40000
21873,2018,5,160.0,120000
21873,2018,6,170.0,100000
21873,2018,7,170.0,180000
21873,2018,8,180.0,180000
21873,2018,9,150.0,160000
21873,2018,10,150.0,80000
21873,2018,11,160.0,160000
21873,2018,12,160.0,140000
21874,2018,1,110.0,180000
21874,2018,2,150.0,140000
21874,2018,3,160.0,100000
21874,2018,4,150.0,120000
21874,2018,5,150.0,60000
21874,2018,6,150.0,60000
21874,2018,7,150.0,80000
21874,2018,8,150.0,120000
21874,2018,9,160.0,60000
21874,2018,10,150.0,180000
21874,2018,11,150.0,60000
21874,2018,12,160.0,140000
21940,2018,9,50.0,80000
21940,2018,10,160.0,160000
21940,2018,11,150.0,180000
21940,2018,12,140.0,80000
22579,2018,9,80.0,180000
22579,2018,10,130.0,100000
22579,2018,11,110.0,120000
22579,2018,12,130.0,140000
22787,2018,4,60.0,140000
22787,2018,5,90.0,120000
22787,2018,6,80.0,200000
22787,2018,7,80.0,180000
22787,2018,8,90.0,180000
22787,2018,9,90.0,160000
22787,2018,10,100.0,100000
22787,2018,11,90.0,160000
22787,2018,12,100.0,40000
23149,2018,7,90.0,180000
23149,2018,8,100.0,140000
23149,2018,9,80.0,180000
23149,2018,10,80.0,60000
23149,2018,11,90.0,180000
23149,2018,12,100.0,200000
23226,2018,7,30.0,140000
23226,2018,8,110.0,100000
23226,2018,9,90.0,140000
23226,2018,10,100.0,160000
23226,2018,11,90.0,120000
23226,2018,12,120.0,120000
23324,2018,4,20.0,80000
23324,2018,5,140.0,100000
23324,2018,6,140.0,80000
23324,2018,7,150.0,140000
23324,2018,8,140.0,120000
23324,2018,9,120.0,120000
23324,2018,10,120.0,140000
23324,2018,11,120.0,100000
23324,2018,12,130.0,120000
23497,2018,5,20.0,100000
23497,2018,6,30.0,180000
23497,2018,7,30.0,60000
23497,2018,8,30.0,120000
23497,2018,9,40.0,120000
23497,2018,10,30.0,200000
23497,2018,11,40.0,200000
23497,2018,12,30.0,180000
23515,2018,2,130.0,80000
23515,2018,3,180.0,40000
23740,2018,5,40.0,120000
23740,2018,6,90.0,60000
23740,2018,7,90.0,140000
23740,2018,8,80.0,160000
23740,2018,9,60.0,160000
23806,2018,3,40.0,120000
23806,2018,4,30.0,200000
23806,2018,5,50.0,80000
23806,2018,6,40.0,100000
23806,2018,7,30.0,180000
23806,2018,8,40.0,140000
23806,2018,9,40.0,100000
23806,2018,10,30.0,40000
23806,2018,11,40.0,120000
23806,2018,12,70.0,60000
23998,2018,7,60.0,180000
23998,2018,8,120.0,40000
23998,2018,9,120.0,120000
23998,2018,10,130.0,180000
23998,2018,11,120.0,200000
23998,2018,12,120.0,140000
24078,2018,4,0.0,120000
24078,2018,5,30.0,100000
24078,2018,6,20.0,120000
24078,2018,7,30.0,140000
24078,2018,8,40.0,120000
24078,2018,9,30.0,160000
24078,2018,10,30.0,120000
24078,2018,11,30.0,140000
24078,2018,12,30.0,180000
24344,2018,4,20.0,80000
24344,2018,5,30.0,40000
24344,2018,6,30.0,100000
24344,2018,7,30.0,80000
24344,2018,8,30.0,120000
24344,2018,9,30.0,200000
24344,2018,10,30.0,40000
24344,2018,11,40.0,140000
24344,2018,12,30.0,200000
24456,2018,3,30.0,60000
24456,2018,4,180.0,80000
24456,2018,5,190.0,140000
24456,2018,6,190.0,140000
24456,2018,7,200.0,120000
24456,2018,8,180.0,140000
24456,2018,9,180.0,160000
24456,2018,10,180.0,200000
24456,2018,11,180.0,180000
24456,2018,12,180.0,40000
24525,2018,8,10.0,160000
24525,2018,9,40.0,40000
24525,2018,10,30.0,100000
24525,2018,11,30.0,120000
24525,2018,12,70.0,100000
24556,2018,4,100.0,200000
24556,2018,5,120.0,80000
24556,2018,6,110.0,60000
24556,2018,7,120.0,180000
24556,2018,8,120.0,40000
24556,2018,9,120.0,40000
24556,2018,10,120.0,200000
24556,2018,11,120.0,40000
24556,2018,12,130.0,80000
24626,2018,10,80.0,180000
24626,2018,11,190.0,60000
24626,2018,12,190.0,60000
24800,2018,7,60.0,80000
24800,2018,8,70.0,160000
24800,2018,9,60.0,140000
24800,2018,10,70.0,100000
24800,2018,11,60.0,80000
24800,2018,12,120.0,120000
24848,2018,3,160.0,60000
24848,2018,4,220.0,180000
24848,2018,5,230.0,120000
24848,2018,6,220.0,100000
24848,2018,7,230.0,160000
24848,2018,8,230.0,80000
24848,2018,9,220.0,80000
24848,2018,10,210.0,160000
24848,2018,11,210.0,200000
24848,2018,12,220.0,140000
25021,2018,6,20.0,60000
25021,2018,7,60.0,160000
25021,2018,8,70.0,180000
25021,2018,9,60.0,140000
25021,2018,10,60.0,40000
25021,2018,11,60.0,60000
25021,2018,12,60.0,160000
25121,2018,7,150.0,180000
25121,2018,8,170.0,140000
25121,2018,9,150.0,120000
25121,2018,10,160.0,200000
25121,2018,11,140.0,200000
25121,2018,12,190.0,140000
25418,2018,12,60.0,180000
25684,2018,4,30.0,160000
25684,2018,5,110.0,200000
25684,2018,6,100.0,60000
25684,2018,7,110.0,180000
25684,2018,8,120.0,160000
25684,2018,9,90.0,140000
25684,2018,10,90.0,180000
25684,2018,11,90.0,180000
25684,2018,12,80.0,80000
25901,2018,2,30.0,200000
25901,2018,3,70.0,100000
25901,2018,4,50.0,180000
25901,2018,5,80.0,180000
25901,2018,6,70.0,100000
25901,2018,7,80.0,40000
25901,2018,8,70.0,100000
25901,2018,9,70.0,180000
25901,2018,10,50.0,200000
25901,2018,11,60.0,100000
25901,2018,12,60.0,140000
26018,2018,11,110.0,200000
26018,2018,12,120.0,200000
26076,2018,6,120.0,140000
26076,2018,7,180.0,100000
26076,2018,8,190.0,100000
26076,2018,9,180.0,180000
26076,2018,10,180.0,80000
26076,2018,11,180.0,80000
26076,2018,12,220.0,40000
26159,2018,2,30.0,60000
26159,2018,3,60.0,200000
26159,2018,4,50.0,120000
26198,2018,6,20.0,40000
26198,2018,7,220.0,180000
26198,2018,8,220.0,60000
26198,2018,9,210.0,140000
26198,2018,10,220.0,100000
26198,2018,11,210.0,100000
26198,2018,12,260.0,140000
26616,2018,5,130.0,160000
26616,2018,6,210.0,160000
26616,2018,7,220.0,80000
26616,2018,8,220.0,140000
26616,2018,9,210.0,80000
26616,2018,10,210.0,100000
26616,2018,11,200.0,80000
26616,2018,12,230.0,200000
26629,2018,1,140.0,180000
26629,2018,2,140.0,100000
26629,2018,3,150.0,200000
26629,2018,4,60.0,140000
26756,2018,10,150.0,120000
26756,2018,11,180.0,40000
26756,2018,12,190.0,100000
26808,2018,12,60.0,40000
26819,2018,8,110.0,140000
26819,2018,9,150.0,180000
26819,2018,10,150.0,80000
26819,2018,11,160.0,140000
26819,2018,12,150.0,40000
27029,2018,7,70.0,160000
27029,2018,8,90.0,100000
27029,2018,9,90.0,180000
27029,2018,10,90.0,100000
27029,2018,11,90.0,180000
27029,2018,12,90.0,80000
27051,2018,2,0.0,80000
27051,2018,3,40.0,120000
27051,2018,4,30.0,100000
27051,2018,5,40.0,180000
27051,2018,6,30.0,180000
27051,2018,7,40.0,180000
27051,2018,8,30.0,200000
27051,2018,9,30.0,140000
27051,2018,10,30.0,60000
27051,2018,11,30.0,40000
27051,2018,12,40.0,160000
27070,2018,12,170.0,80000
27364,2018,12,30.0,200000
27417,2018,7,10.0,100000
27417,2018,8,100.0,100000
27417,2018,9,90.0,120000
27417,2018,10,90.0,40000
27417,2018,11,90.0,120000
27417,2018,12,100.0,100000
27447,2018,11,60.0,60000
27447,2018,12,90.0,140000
27513,2018,2,40.0,80000
27513,2018,3,120.0,120000
27513,2018,4,110.0,100000
27513,2018,5,130.0,100000
27513,2018,6,120.0,160000
27513,2018,7,120.0,160000
27513,2018,8,130.0,100000
27513,2018,9,110.0,160000
27513,2018,10,110.0,120000
27513,2018,11,130.0,160000
27513,2018,12,150.0,200000
27600,2018,12,40.0,160000
28126,2018,8,50.0,180000
28126,2018,9,120.0,60000
28126,2018,10,130.0,200000
28126,2018,11,120.0,140000
28126,2018,12,120.0,80000
28141,2018,6,70.0,40000
28141,2018,7,110.0,160000
28141,2018,8,130.0,40000
28141,2018,9,120.0,120000
28141,2018,10,120.0,160000
28141,2018,11,120.0,60000
28141,2018,12,130.0,200000
28188,2018,12,100.0,60000
28423,2018,5,120.0,160000
28423,2018,6,120.0,80000
28423,2018,7,130.0,180000
28423,2018,8,120.0,60000
28423,2018,9,120.0,40000
28423,2018,10,130.0,60000
28423,2018,11,120.0,80000
28423,2018,12,120.0,120000
28673,2018,12,80.0,120000
28687,2018,5,90.0,180000
28687,2018,6,150.0,80000
28687,2018,7,160.0,140000
28687,2018,8,150.0,80000
28687,2018,9,150.0,120000
28687,2018,10,150.0,160000
28687,2018,11,150.0,160000
28687,2018,12,150.0,40000
28967,2018,4,90.0,160000
28967,2018,5,110.0,40000
28967,2018,6,120.0,40000
28967,2018,7,120.0,60000
28967,2018,8,120.0,120000
28967,2018,9,120.0,140000
28967,2018,10,110.0,160000
28967,2018,11,120.0,100000
28967,2018,12,130.0,140000
29011,2018,7,30.0,60000
29011,2018,8,150.0,80000
29011,2018,9,150.0,120000
29011,2018,10,150.0,100000
29011,2018,11,160.0,100000
29011,2018,12,180.0,160000
29122,2018,12,20.0,180000
29156,2018,11,40.0,120000
29156,2018,12,190.0,160000
29174,2018,4,80.0,40000
29174,2018,5,150.0,80000
29174,2018,6,160.0,120000
29174,2018,7,150.0,200000
29174,2018,8,160.0,60000
29174,2018,9,150.0,160000
29174,2018,10,160.0,200000
29174,2018,11,160.0,200000
29174,2018,12,160.0,60000
29179,2018,5,60.0,140000
29179,2018,6,90.0,80000
29179,2018,7,90.0,120000
29179,2018,8,80.0,80000
29179,2018,9,90.0,60000
29179,2018,10,80.0,180000
29179,2018,11,90.0,40000
29179,2018,12,80.0,40000
29869,2018,9,60.0,100000
29869,2018,10,60.0,180000
29869,2018,11,60.0,60000
29869,2018,12,60.0,40000
29946,2018,3,30.0,40000
29946,2018,4,210.0,40000
29946,2018,5,220.0,100000
29946,2018,6,200.0,100000
29946,2018,7,220.0,140000
29946,2018,8,220.0,40000
29946,2018,9,210.0,200000
29946,2018,10,230.0,60000
29946,2018,11,210.0,40000
29946,2018,12,220.0,60000
30449,2018,12,150.0,160000
30660,2018,10,20.0,100000
30660,2018,11,120.0,60000
30660,2018,12,160.0,160000
30775,2018,7,130.0,60000
30775,2018,8,140.0,140000
30775,2018,9,130.0,100000
30775,2018,10,120.0,100000
30775,2018,11,130.0,160000
30775,2018,12,130.0,160000
31078,2018,10,100.0,180000
31078,2018,11,180.0,40000
31078,2018,12,190.0,60000
31103,2018,4,50.0,160000
31103,2018,5,80.0,100000
31103,2018,6,60.0,160000
31103,2018,7,60.0,120000
31103,2018,8,60.0,200000
31103,2018,9,70.0,200000
31103,2018,10,60.0,40000
31103,2018,11,50.0,200000
31103,2018,12,100.0,80000
31196,2018,4,30.0,180000
31196,2018,5,190.0,140000
31196,2018,6,190.0,100000
31196,2018,7,180.0,160000
31196,2018,8,190.0,200000
31196,2018,9,180.0,160000
31196,2018,10,180.0,100000
